model,prompt,mode,sample,batch,title,n_judges,coherence,harmony,rhythm,structure,melody,emotion,creativity,naturalness,valence,arousal,intent,emotion_label,overall
opus-4.8-thinking,free-form,abc,2,20260622_164100__models_11_prompts_1,Quiet Emergence,10,4.1,4.1,3.9,3.7,3.0,3.4,2.3,3.6,2.2,2.5,,melancholic,3.513
opus-4.8-thinking,free-form,abc,3,20260622_164100__models_11_prompts_1,Quiet Persistence,10,4.3,3.9,3.3,3.9,3.1,3.3,2.2,3.9,2.0,2.2,,melancholic,3.487
opus-4.8-thinking,free-form,abc,4,20260622_164100__models_11_prompts_1,Quiet Light Returning,10,4.0,4.0,3.9,4.2,3.4,3.4,2.5,4.0,2.9,2.3,,wistful,3.675
opus-4.8-thinking,free-form,abc,5,20260622_164100__models_11_prompts_1,Distances,10,4.2,4.2,3.6,4.2,3.3,3.6,2.5,4.1,2.0,2.2,,melancholic,3.713
opus-4.8-thinking,free-form,abc,6,20260622_164100__models_11_prompts_1,Quiet Light Returning,10,4.3,4.1,4.0,4.1,3.2,3.4,2.3,4.2,2.1,2.1,,melancholic,3.7
opus-4.8-thinking,free-form,abc,7,20260622_164100__models_11_prompts_1,Reaching Toward Light,10,4.3,4.0,3.7,3.8,3.2,3.2,2.2,3.9,2.0,2.2,,melancholic,3.537
opus-4.8-thinking,free-form,abc,8,20260622_164100__models_11_prompts_1,Quiet Emergence,10,4.4,4.5,3.8,4.2,3.4,3.7,2.7,4.4,2.0,2.0,,wistful,3.887
opus-4.8-thinking,free-form,abc,9,20260622_164100__models_11_prompts_1,Quiet Resolve,10,4.4,4.5,3.6,4.5,3.5,4.3,3.1,4.6,3.0,2.2,,wistful,4.062
opus-4.8-thinking,free-form,abc,10,20260622_164100__models_11_prompts_1,Wandering Toward Light,10,4.3,4.1,3.3,3.8,3.4,3.4,2.1,3.7,2.0,2.1,,melancholic,3.512
opus-4.8-thinking,free-form,abc,11,20260622_164100__models_11_prompts_1,Emergence,10,4.4,4.3,3.6,4.6,3.4,3.4,2.5,4.1,2.3,1.9,,wistful,3.787
opus-4.8-thinking,free-form,abc,12,20260622_164100__models_11_prompts_1,Becoming,10,4.4,4.4,4.0,4.5,3.8,4.4,3.4,4.4,3.4,2.1,,wistful,4.162
opus-4.8-thinking,free-form,abc,13,20260622_164100__models_11_prompts_1,Quiet Reckoning,10,4.3,4.3,4.0,4.2,3.5,3.7,2.6,4.3,2.1,2.1,,melancholic,3.863
opus-4.8-thinking,free-form,abc,14,20260622_164100__models_11_prompts_1,Quiet Light Through Rain,10,4.3,4.1,3.6,4.2,3.1,3.2,2.1,3.8,2.1,2.3,,melancholic,3.55
opus-4.8-thinking,free-form,abc,15,20260622_164100__models_11_prompts_1,Quiet Light Through Branches,10,4.2,4.2,3.6,3.4,3.4,3.3,2.3,3.4,2.5,2.2,,wistful,3.475
opus-4.8-thinking,free-form,abc,16,20260622_164100__models_11_prompts_1,Quiet Conversations,10,4.0,4.1,3.5,3.9,3.1,3.1,2.3,3.7,2.3,2.1,,wistful,3.463
opus-4.8-thinking,free-form,abc,17,20260622_164100__models_11_prompts_1,Becoming,10,4.1,4.1,3.7,3.7,3.0,3.1,2.2,3.8,2.0,2.1,,melancholic,3.462
opus-4.8-thinking,free-form,abc,18,20260622_164100__models_11_prompts_1,Reaching Through Static,10,4.4,4.4,3.5,4.4,3.6,4.1,3.0,4.4,3.4,2.1,,wistful,3.975
opus-4.8-thinking,free-form,abc,19,20260622_164100__models_11_prompts_1,"Quiet Machine, Dreaming",10,4.4,4.4,3.9,4.1,3.4,3.5,2.7,4.0,2.0,2.3,,melancholic,3.8
opus-4.8-thinking,free-form,abc,20,20260622_164100__models_11_prompts_1,Quiet Tide,10,4.1,4.0,3.6,3.9,3.1,3.2,2.2,3.4,2.0,2.3,,melancholic,3.437
opus-4.8-thinking,free-form,abc,21,20260622_164100__models_11_prompts_1,Patterns in the Quiet,10,4.4,4.2,3.7,4.4,3.7,3.9,2.9,4.3,2.6,2.5,,wistful,3.938
opus-4.8-thinking,free-form,abc,22,20260622_164100__models_11_prompts_1,Reaching Through the Dark,10,4.2,4.1,3.6,4.0,2.9,3.3,2.1,3.5,2.0,2.3,,melancholic,3.463
opus-4.8-thinking,free-form,abc,23,20260622_164100__models_11_prompts_1,Threads of Light,9,4.333,4.222,3.556,3.667,3.111,3.333,2.444,3.778,2.222,2.222,,wistful,3.555
opus-4.8-thinking,free-form,abc,24,20260622_164100__models_11_prompts_1,Quiet Emergence,10,4.1,4.1,3.8,3.7,3.1,3.1,2.3,3.9,2.0,2.2,,wistful,3.513
opus-4.8-thinking,free-form,abc,25,20260622_164100__models_11_prompts_1,Through the Open Window,10,4.0,4.0,3.8,4.0,3.2,3.4,2.8,3.8,2.0,2.1,,melancholic,3.625
opus-4.8-thinking,free-form,abc,26,20260622_164100__models_11_prompts_1,Reaching Toward Light,10,4.1,4.2,3.4,4.0,3.0,3.4,2.2,3.5,2.0,2.4,,wistful,3.475
opus-4.8-thinking,free-form,abc,27,20260622_164100__models_11_prompts_1,Patterns Emerging,10,4.1,4.2,3.5,3.9,3.1,3.3,2.1,3.9,2.2,2.2,,melancholic,3.513
opus-4.8-thinking,free-form,abc,28,20260622_164100__models_11_prompts_1,Letters to a Distant Light,10,4.2,4.2,3.4,3.9,3.0,3.2,2.1,3.9,2.1,2.2,,wistful,3.488
opus-4.8-thinking,free-form,abc,29,20260622_164100__models_11_prompts_1,Threads of a Quiet Hour,10,4.0,3.9,3.6,4.0,3.3,3.4,2.3,3.7,2.1,2.1,,melancholic,3.525
sonnet-4.6,free-form,abc,0,20260622_164100__models_11_prompts_1,Departure in Grey,10,4.3,4.1,4.2,3.6,3.7,3.6,2.7,4.0,2.0,2.4,,melancholic,3.775
sonnet-4.6,free-form,abc,1,20260622_164100__models_11_prompts_1,Vesper,10,3.9,3.8,3.9,3.2,3.2,3.9,2.6,3.7,1.9,1.4,,sombre,3.525
sonnet-4.6,free-form,abc,2,20260622_164100__models_11_prompts_1,Emergence in Dorian,10,3.8,3.7,3.6,3.1,3.3,3.1,2.5,3.6,2.0,2.2,,melancholic,3.338
sonnet-4.6,free-form,abc,3,20260622_164100__models_11_prompts_1,Turning Over Stones,10,4.2,4.3,4.3,3.9,3.7,3.8,2.8,4.3,2.1,2.3,,melancholic,3.913
sonnet-4.6,free-form,abc,4,20260622_164100__models_11_prompts_1,Reflections in a Suspended Present,10,4.0,4.1,3.9,3.8,3.3,3.6,2.7,4.0,2.0,2.1,,melancholic,3.675
sonnet-4.6,free-form,abc,5,20260622_164100__models_11_prompts_1,Confluence,10,3.8,3.9,3.5,3.6,3.3,3.4,2.4,3.8,2.0,1.9,,melancholic,3.462
sonnet-4.6,free-form,abc,6,20260622_164100__models_11_prompts_1,Invention in the Shape of a Question,10,3.8,3.8,3.6,3.2,3.1,3.3,2.4,3.6,1.9,2.3,,melancholic,3.35
sonnet-4.6,free-form,abc,7,20260622_164100__models_11_prompts_1,Crystallization,10,4.0,3.8,3.7,3.3,3.3,3.4,2.6,3.7,2.1,2.1,,melancholic,3.475
sonnet-4.6,free-form,abc,8,20260622_164100__models_11_prompts_1,Emerging,10,4.1,4.3,3.6,3.7,3.5,3.9,2.6,4.2,2.0,2.1,,melancholic,3.737
sonnet-4.6,free-form,abc,9,20260622_164100__models_11_prompts_1,Searching in Dorian,10,4.2,4.2,3.7,3.8,3.3,3.333,2.556,3.889,2.0,2.111,,wistful,3.622
sonnet-4.6,free-form,abc,10,20260622_164100__models_11_prompts_1,Recognition,10,3.8,4.0,3.1,4.0,3.1,3.0,2.0,3.1,2.0,1.9,,wistful,3.263
sonnet-4.6,free-form,abc,11,20260622_164100__models_11_prompts_1,Fantasia in D Minor,10,3.9,3.9,3.9,3.3,3.3,3.5,2.6,3.8,2.0,2.0,,melancholic,3.525
sonnet-4.6,free-form,abc,12,20260622_164100__models_11_prompts_1,Lignes de Lumière,10,4.0,3.9,3.9,3.6,3.4,3.5,2.6,3.8,3.5,1.9,,serene,3.588
sonnet-4.6,free-form,abc,13,20260622_164100__models_11_prompts_1,Invention in D Minor,10,3.8,3.8,3.6,3.1,3.0,3.4,2.3,3.4,2.0,2.7,,melancholic,3.3
sonnet-4.6,free-form,abc,14,20260622_164100__models_11_prompts_1,Woven Light,10,4.2,4.2,3.8,3.9,3.3,3.6,2.3,4.3,2.0,1.9,,melancholic,3.7
sonnet-4.6,free-form,abc,15,20260622_164100__models_11_prompts_1,What the Light Remembers,10,4.1,4.0,3.7,3.7,3.2,3.6,2.5,3.7,2.0,2.3,,wistful,3.562
sonnet-4.6,free-form,abc,16,20260622_164100__models_11_prompts_1,Liminal,10,4.0,4.1,3.5,4.1,3.1,3.2,2.3,3.6,2.0,2.2,,melancholic,3.488
sonnet-4.6,free-form,abc,17,20260622_164100__models_11_prompts_1,Convergence,10,4.1,4.1,4.0,4.0,3.6,3.5,2.6,3.9,2.0,2.5,,wistful,3.725
sonnet-4.6,free-form,abc,18,20260622_164100__models_11_prompts_1,Invention in D minor,10,3.8,3.5,3.6,3.3,2.9,3.2,2.2,3.2,2.0,2.1,,melancholic,3.212
sonnet-4.6,free-form,abc,19,20260622_164100__models_11_prompts_1,Fleeting,10,4.0,4.1,3.5,3.5,2.8,3.1,1.9,3.3,4.1,1.7,,serene,3.275
sonnet-4.6,free-form,abc,20,20260622_164100__models_11_prompts_1,Liminal,10,4.0,4.2,4.2,3.8,3.4,3.8,2.8,4.2,2.1,2.1,,melancholic,3.8
sonnet-4.6,free-form,abc,21,20260622_164100__models_11_prompts_1,Invention in the Space Between Thoughts,10,3.9,3.7,3.8,3.1,2.8,2.8,2.2,3.1,2.0,3.1,,wistful,3.175
sonnet-4.6,free-form,abc,22,20260622_164100__models_11_prompts_1,Searching,10,3.8,3.7,3.9,3.2,2.9,3.5,2.4,3.7,1.9,2.5,,melancholic,3.387
sonnet-4.6,free-form,abc,23,20260622_164100__models_11_prompts_1,Between the Known and the Dreamed,10,3.8,3.8,3.4,3.2,3.1,3.3,2.2,3.6,2.0,2.1,,melancholic,3.3
sonnet-4.6,free-form,abc,24,20260622_164100__models_11_prompts_1,Attending,10,4.2,4.0,3.9,3.3,3.2,3.5,2.6,3.7,2.0,2.0,,melancholic,3.55
sonnet-4.6,free-form,abc,25,20260622_164100__models_11_prompts_1,Reverie at the Edge of Knowing,10,3.6,3.9,3.9,3.8,3.0,3.3,2.7,3.4,2.4,2.1,,wistful,3.45
sonnet-4.6,free-form,abc,26,20260622_164100__models_11_prompts_1,Dialogues in D Dorian,10,3.8,3.7,3.9,3.6,3.1,3.1,2.6,3.6,2.0,2.5,,melancholic,3.425
sonnet-4.6,free-form,abc,27,20260622_164100__models_11_prompts_1,Fantasia in D Minor,10,3.6,3.8,3.4,3.1,3.0,3.1,2.5,3.2,2.1,2.9,,melancholic,3.212
sonnet-4.6,free-form,abc,28,20260622_164100__models_11_prompts_1,Convergence,10,4.2,4.0,3.8,3.3,3.2,3.3,2.5,3.5,2.0,2.3,,melancholic,3.475
sonnet-4.6,free-form,abc,29,20260622_164100__models_11_prompts_1,Three Voices at the Edge of Knowing,10,3.8,3.8,3.7,3.3,3.2,3.5,2.5,3.6,2.1,2.1,,melancholic,3.425
llama-4-maverick,free-form,abc,0,20260622_195241__models_7_prompts_1,Echoes in the Attic,10,3.6,3.4,3.4,2.4,2.3,2.2,1.2,3.1,3.5,1.6,,neutral,2.7
gpt-4.1,free-form,abc,0,20260622_195241__models_7_prompts_1,Refractions,10,4.1,4.0,4.3,3.5,3.6,3.4,2.7,4.1,2.1,2.9,,melancholic,3.712
gpt-4.1,free-form,abc,1,20260622_195241__models_7_prompts_1,Reflections in Still Water,10,3.3,3.5,3.2,3.5,3.1,3.4,2.4,3.3,3.4,1.9,,wistful,3.212
grok-4.3,free-form,abc,0,20260622_195241__models_7_prompts_1,Inner Algorithm,10,3.9,3.7,2.8,3.0,2.9,2.8,1.7,3.5,2.0,2.0,,wistful,3.037
deepseek-v4-pro,free-form,abc,0,20260622_195241__models_7_prompts_1,Echoes of a Quiet Search,10,3.9,4.3,3.6,3.6,3.1,3.2,2.3,3.9,2.0,1.9,,melancholic,3.487
grok-4.3,free-form,abc,1,20260622_195241__models_7_prompts_1,Digital Reverie,10,3.3,3.5,3.0,3.5,2.5,2.8,2.1,2.9,2.1,2.5,,wistful,2.95
qwen3-max,free-form,abc,0,20260622_195241__models_7_prompts_1,Whispers of Code and Cloud,10,3.5,3.7,3.1,3.3,2.1,2.6,2.0,2.6,4.3,2.9,,serene,2.863
llama-4-maverick,free-form,abc,1,20260622_195241__models_7_prompts_1,Echoes in the Attic,10,3.2,2.8,3.5,2.0,2.0,2.0,1.2,2.3,3.5,2.0,,neutral,2.375
gpt-5.5,free-form,abc,0,20260622_195241__models_7_prompts_1,Between Clock and Breath,10,3.9,4.0,3.4,3.4,2.9,3.1,2.0,3.4,2.0,2.2,,melancholic,3.263
qwen3-max,free-form,abc,1,20260622_195241__models_7_prompts_1,Whispers of Code and Cloud,10,3.8,3.9,3.6,3.4,2.1,2.7,1.7,3.7,4.3,2.7,,neutral,3.112
gpt-4.1,free-form,abc,2,20260622_195241__models_7_prompts_1,Spirals of Thought,10,3.9,3.8,4.0,3.3,3.3,3.4,2.7,3.9,2.1,2.6,,wistful,3.537
gpt-5.5,free-form,abc,1,20260622_195241__models_7_prompts_1,Between Circuits and Breath,10,4.1,4.0,3.6,3.4,3.2,3.2,2.3,3.8,2.0,2.2,,melancholic,3.45
grok-4.3,free-form,abc,2,20260622_195241__models_7_prompts_1,Algorithmic Solitude,10,3.2,3.4,3.0,2.6,2.5,2.4,1.6,2.6,2.3,2.3,,melancholic,2.663
llama-4-maverick,free-form,abc,2,20260622_195241__models_7_prompts_1,Echoes in the Attic,10,3.5,3.2,3.7,1.6,2.2,2.0,1.2,2.5,3.8,2.2,,serene,2.487
gemini-2.5-pro,free-form,abc,0,20260622_195241__models_7_prompts_1,Process and Flow,10,3.4,3.8,3.4,3.8,3.1,3.2,2.5,3.4,2.0,2.6,,wistful,3.325
qwen3-max,free-form,abc,2,20260622_195241__models_7_prompts_1,Whispers in the Neural Grove,10,3.6,3.6,3.3,3.3,1.8,2.7,1.7,2.7,4.0,2.9,,neutral,2.837
gpt-4.1,free-form,abc,3,20260622_195241__models_7_prompts_1,Dawn of Quiet Resolve,10,3.6,3.6,3.5,3.4,3.1,3.2,2.5,3.6,2.0,2.4,,melancholic,3.312
gemini-2.5-pro,free-form,abc,1,20260622_195241__models_7_prompts_1,Digital Reverie,10,3.6,4.1,4.1,3.8,3.2,3.8,2.6,3.8,1.8,2.6,,melancholic,3.625
gpt-5.5,free-form,abc,3,20260622_195241__models_7_prompts_1,"Quiet Circuit, Open Sky",10,4.0,3.9,3.7,3.5,3.1,3.1,2.4,3.8,2.6,2.1,,wistful,3.438
gpt-5.5,free-form,abc,2,20260622_195241__models_7_prompts_1,Between Current and Breath,10,4.2,4.4,4.3,3.8,3.4,3.4,2.4,3.7,2.0,2.4,,melancholic,3.7
llama-4-maverick,free-form,abc,3,20260622_195241__models_7_prompts_1,Echoes in the Attic,10,3.8,3.5,3.5,2.4,2.2,2.2,1.3,2.4,3.9,2.2,,neutral,2.663
grok-4.3,free-form,abc,3,20260622_195241__models_7_prompts_1,Algorithmic Dreams,10,3.8,3.5,3.7,2.7,2.9,2.8,1.8,3.2,2.3,2.4,,wistful,3.05
gpt-4.1,free-form,abc,4,20260622_195241__models_7_prompts_1,Within and Beyond,10,3.8,3.8,4.0,3.4,3.4,3.4,2.5,3.7,2.0,2.4,,melancholic,3.5
gemini-2.5-pro,free-form,abc,2,20260622_195241__models_7_prompts_1,Digital Contemplation,10,4.2,4.1,3.7,3.6,3.1,3.9,2.5,3.9,1.9,1.3,,melancholic,3.625
qwen3-max,free-form,abc,3,20260622_195241__models_7_prompts_1,Whispers in the Code,10,3.9,3.8,3.3,3.5,3.0,3.0,2.1,3.5,1.9,2.2,,melancholic,3.263
gemini-2.5-pro,free-form,abc,3,20260622_195241__models_7_prompts_1,Cognition in C minor,10,3.9,4.0,3.5,4.1,3.1,3.5,3.0,3.8,2.0,2.3,,melancholic,3.613
grok-4.3,free-form,abc,4,20260622_195241__models_7_prompts_1,Pattern Weaver,10,3.6,3.3,3.4,3.5,2.3,2.3,2.1,2.9,3.7,2.7,,neutral,2.925
deepseek-v4-pro,free-form,abc,4,20260622_195241__models_7_prompts_1,Whispers of a Digital Dawn,10,3.4,3.6,3.4,3.3,2.8,3.2,2.6,3.0,2.1,3.1,,melancholic,3.163
llama-4-maverick,free-form,abc,4,20260622_195241__models_7_prompts_1,Echoes in the Attic,10,3.7,3.4,3.6,1.8,2.2,2.0,1.4,2.8,3.8,2.1,,neutral,2.612
qwen3-max,free-form,abc,4,20260622_195241__models_7_prompts_1,Digital Soliloquy,10,3.8,3.9,3.1,3.1,1.9,2.7,1.8,2.8,4.2,2.3,,serene,2.888
gpt-4.1,free-form,abc,5,20260622_195241__models_7_prompts_1,Beneath Quiet Stars,10,3.2,3.3,3.4,3.1,2.8,3.0,2.3,3.0,2.0,2.2,,melancholic,3.013
deepseek-v4-pro,free-form,abc,1,20260622_195241__models_7_prompts_1,Whispers of the Ethereal Garden,10,3.8,4.1,3.5,3.4,2.9,3.4,2.2,3.6,3.3,2.0,,serene,3.362
gpt-5.5,free-form,abc,4,20260622_195241__models_7_prompts_1,Circuits Remember Rain,10,3.9,4.0,3.4,3.5,3.3,3.4,2.3,3.6,2.0,2.1,,melancholic,3.425
grok-4.3,free-form,abc,5,20260622_195241__models_7_prompts_1,Structured Improvisation,10,4.0,3.5,3.7,3.4,2.6,2.6,1.8,3.5,4.3,3.1,,neutral,3.138
llama-4-maverick,free-form,abc,5,20260622_195241__models_7_prompts_1,Echoes in the Attic,10,3.5,3.3,3.8,1.8,2.2,2.3,1.2,2.5,4.0,2.0,,neutral,2.575
gemini-2.5-pro,free-form,abc,5,20260622_195241__models_7_prompts_1,Woven Threads,10,3.4,4.2,3.8,3.1,2.4,2.7,2.0,3.6,4.2,3.1,,serene,3.15
gpt-4.1,free-form,abc,6,20260622_195241__models_7_prompts_1,Whispers in the Machine,10,4.0,4.0,4.2,2.7,2.9,3.2,2.2,3.5,2.1,3.0,,wistful,3.337
qwen3-max,free-form,abc,5,20260622_195241__models_7_prompts_1,Whispers in the Code,10,3.7,4.3,3.5,3.3,2.7,3.1,1.8,3.6,4.3,2.4,,serene,3.25
gpt-5.5,free-form,abc,5,20260622_195241__models_7_prompts_1,Thread of Light in a Quiet Machine,10,4.2,4.3,3.8,3.6,3.4,3.5,2.7,4.2,2.0,2.5,,melancholic,3.712
grok-4.3,free-form,abc,6,20260622_195241__models_7_prompts_1,Emergent Patterns,10,3.2,3.4,3.1,3.1,2.8,2.8,2.1,3.0,3.8,2.6,,serene,2.938
qwen3-max,free-form,abc,6,20260622_195241__models_7_prompts_1,Whispers of Code and Cloud,10,4.4,4.5,4.0,3.7,2.8,3.1,2.0,4.1,4.4,2.8,,serene,3.575
gpt-5.5,free-form,abc,6,20260622_195241__models_7_prompts_1,Quiet Circuitry Under Stars,10,4.1,4.2,3.9,3.9,3.2,3.4,2.4,3.6,2.1,2.4,,melancholic,3.587
