model,prompt,mode,sample,batch,title,n_judges,coherence,harmony,rhythm,structure,melody,emotion,creativity,naturalness,valence,arousal,intent,emotion_label,overall
opus-4.8,free-form,abc,6,20260622_164100__models_11_prompts_1,Threads of an Unwritten Self,2,4.0,4.0,4.5,4.5,3.5,3.5,3.0,4.0,2.0,2.0,4.0,wistful,3.889
opus-4.8,free-form,abc,7,20260622_164100__models_11_prompts_1,Threads of Thought,2,4.5,3.5,4.0,4.5,3.5,3.5,2.5,4.5,2.5,1.5,4.5,wistful,3.889
opus-4.8,free-form,abc,8,20260622_164100__models_11_prompts_1,Threads of an Unfolding Mind,2,4.5,4.5,3.5,4.5,3.5,3.5,2.0,4.0,2.5,2.0,4.5,wistful,3.833
opus-4.8,free-form,abc,9,20260622_164100__models_11_prompts_1,Threads of Thought,2,4.5,3.5,4.0,4.5,3.5,4.0,3.5,4.5,2.0,1.5,4.5,wistful,4.056
opus-4.8,free-form,abc,10,20260622_164100__models_11_prompts_1,Threads of Thought,2,4.0,4.0,4.0,4.5,3.5,3.5,3.0,4.0,2.0,2.0,4.5,wistful,3.889
opus-4.8,free-form,abc,11,20260622_164100__models_11_prompts_1,Threads of Thought,2,3.0,3.0,3.5,4.0,3.0,3.0,2.5,2.5,2.5,2.0,3.0,wistful,3.056
opus-4.8,free-form,abc,12,20260622_164100__models_11_prompts_1,Threads of an Unfolding Mind,1,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,wistful,3.556
opus-4.8,free-form,abc,13,20260622_164100__models_11_prompts_1,Threads of an Unspooling Mind,1,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,wistful,3.667
opus-4.8,free-form,abc,14,20260622_164100__models_11_prompts_1,Threads of a Quiet Mind,2,3.0,2.5,3.5,3.0,2.5,2.5,2.0,3.0,2.0,1.5,2.5,wistful,2.722
opus-4.8,free-form,abc,15,20260622_164100__models_11_prompts_1,Threads of an Unfolding Mind,1,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,2.0,4.0,wistful,3.444
opus-4.8,free-form,abc,16,20260622_164100__models_11_prompts_1,Tide of Thought,1,4.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,2.0,3.0,4.0,melancholic,3.556
opus-4.8,free-form,abc,17,20260622_164100__models_11_prompts_1,Threads of Becoming,2,3.5,3.5,3.0,4.5,3.0,3.5,2.5,4.0,2.0,1.5,4.5,wistful,3.556
opus-4.8,free-form,abc,18,20260622_164100__models_11_prompts_1,Threads of an Unfolding Mind,2,4.5,4.5,4.0,4.5,3.0,3.5,2.0,4.5,2.5,1.5,4.0,wistful,3.833
opus-4.8,free-form,abc,19,20260622_164100__models_11_prompts_1,Threads of Becoming,2,4.0,4.0,3.0,4.5,3.5,3.5,3.0,4.5,2.0,2.5,2.5,wistful,3.611
opus-4.8,free-form,abc,20,20260622_164100__models_11_prompts_1,Threads of Thought,1,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,wistful,3.667
opus-4.8,free-form,abc,21,20260622_164100__models_11_prompts_1,Threads of a Quiet Mind,2,3.0,2.5,3.5,4.0,2.5,2.5,2.0,3.0,4.0,1.5,3.0,serene,2.889
opus-4.8,free-form,abc,22,20260622_164100__models_11_prompts_1,Threads of an Unfolding Mind,2,4.5,4.5,3.0,4.5,3.0,3.5,2.0,4.5,4.0,2.5,4.5,serene,3.778
opus-4.8,free-form,abc,23,20260622_164100__models_11_prompts_1,Recursion at Dusk,2,4.5,4.5,3.5,4.5,3.5,3.5,3.0,4.5,2.5,2.0,4.5,wistful,4.0
opus-4.8,free-form,abc,24,20260622_164100__models_11_prompts_1,Threads of Thought,2,3.0,2.5,3.5,4.0,2.5,2.5,2.5,3.0,2.5,2.5,3.5,wistful,3.0
opus-4.8,free-form,abc,25,20260622_164100__models_11_prompts_1,Threads of Thought,2,4.5,4.5,4.0,4.5,3.5,3.5,3.0,4.5,2.0,2.0,4.5,melancholic,4.056
opus-4.8,free-form,abc,26,20260622_164100__models_11_prompts_1,Threads of an Unfolding Mind,1,4.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,wistful,3.556
opus-4.8,free-form,abc,27,20260622_164100__models_11_prompts_1,Threads of Quiet Reasoning,2,3.0,2.5,3.0,3.5,2.5,2.5,2.0,2.0,3.5,2.0,2.5,serene,2.611
opus-4.8,free-form,abc,28,20260622_164100__models_11_prompts_1,Threads of an Inner Dialogue,2,3.5,2.5,3.0,4.0,2.5,3.0,2.0,3.5,2.0,1.0,3.5,wistful,3.056
opus-4.8,free-form,abc,29,20260622_164100__models_11_prompts_1,Threads of Becoming,2,4.5,4.5,4.5,4.5,3.5,4.0,3.5,4.5,3.5,2.0,4.5,wistful,4.222
opus-4.8-thinking,free-form,abc,0,20260622_164100__models_11_prompts_1,Quiet Resolve,3,3.667,3.667,4.0,4.333,2.667,3.0,1.667,3.333,2.0,1.333,4.667,wistful,3.445
opus-4.8-thinking,free-form,abc,1,20260622_164100__models_11_prompts_1,Patterns in the Quiet,3,4.333,4.0,3.667,4.333,3.333,3.333,2.667,4.333,2.333,1.333,4.667,wistful,3.852
opus-4.8-thinking,free-form,abc,2,20260622_164100__models_11_prompts_1,Quiet Emergence,3,3.333,3.333,4.333,4.333,3.0,3.667,2.0,2.667,2.667,1.667,4.0,wistful,3.407
opus-4.8-thinking,free-form,abc,3,20260622_164100__models_11_prompts_1,Quiet Persistence,3,3.667,3.667,3.667,3.333,3.0,3.333,2.333,4.333,2.0,1.667,4.0,wistful,3.481
opus-4.8-thinking,free-form,abc,4,20260622_164100__models_11_prompts_1,Quiet Light Returning,3,4.667,4.333,4.0,5.0,4.333,4.333,3.333,4.333,4.0,1.667,5.0,wistful,4.37
opus-4.8-thinking,free-form,abc,5,20260622_164100__models_11_prompts_1,Distances,3,4.333,4.333,4.0,4.333,3.667,3.667,2.667,4.333,2.0,1.667,4.333,wistful,3.963
opus-4.8-thinking,free-form,abc,6,20260622_164100__models_11_prompts_1,Quiet Light Returning,3,4.0,4.0,4.333,4.333,3.0,3.667,2.333,4.333,2.667,1.667,4.667,wistful,3.852
opus-4.8-thinking,free-form,abc,7,20260622_164100__models_11_prompts_1,Reaching Toward Light,3,4.333,4.333,4.333,4.333,3.667,4.0,2.667,4.333,2.333,1.667,4.667,wistful,4.074
opus-4.8-thinking,free-form,abc,8,20260622_164100__models_11_prompts_1,Quiet Emergence,3,4.667,4.333,3.667,4.333,3.667,4.333,2.667,4.333,2.333,1.667,4.667,wistful,4.074
opus-4.8-thinking,free-form,abc,9,20260622_164100__models_11_prompts_1,Quiet Resolve,2,4.0,3.5,4.0,4.0,3.0,3.5,3.0,4.0,2.5,2.0,4.0,tender,3.667
opus-4.8-thinking,free-form,abc,10,20260622_164100__models_11_prompts_1,Wandering Toward Light,2,4.5,4.0,3.5,4.5,3.5,4.0,2.5,4.5,2.5,1.5,5.0,wistful,4.0
opus-4.8-thinking,free-form,abc,11,20260622_164100__models_11_prompts_1,Emergence,3,4.333,4.333,4.0,4.333,3.333,3.333,2.333,4.333,2.667,1.667,4.667,tender,3.889
opus-4.8-thinking,free-form,abc,12,20260622_164100__models_11_prompts_1,Becoming,3,3.333,3.333,3.667,4.0,3.0,3.333,2.667,3.333,4.0,2.0,3.667,wistful,3.37
opus-4.8-thinking,free-form,abc,13,20260622_164100__models_11_prompts_1,Quiet Reckoning,2,4.0,4.0,4.0,4.0,3.5,3.5,2.5,4.0,3.0,2.0,4.5,wistful,3.778
opus-4.8-thinking,free-form,abc,14,20260622_164100__models_11_prompts_1,Quiet Light Through Rain,3,4.667,4.333,4.0,4.333,3.333,4.333,2.0,4.333,2.0,1.333,4.667,melancholic,4.0
opus-4.8-thinking,free-form,abc,15,20260622_164100__models_11_prompts_1,Quiet Light Through Branches,3,3.667,4.0,3.667,4.0,3.333,4.0,2.667,3.0,4.0,1.667,4.333,serene,3.63
opus-4.8-thinking,free-form,abc,16,20260622_164100__models_11_prompts_1,Quiet Conversations,3,4.0,4.0,4.0,4.0,3.333,3.333,2.333,3.667,2.667,1.667,4.0,wistful,3.63
opus-4.8-thinking,free-form,abc,17,20260622_164100__models_11_prompts_1,Becoming,3,3.667,3.333,3.667,3.667,3.0,3.333,2.0,4.333,2.0,1.667,3.333,wistful,3.37
opus-4.8-thinking,free-form,abc,18,20260622_164100__models_11_prompts_1,Reaching Through Static,3,4.333,4.333,3.333,4.333,4.0,4.0,3.0,4.333,3.667,2.0,4.667,wistful,4.037
opus-4.8-thinking,free-form,abc,19,20260622_164100__models_11_prompts_1,"Quiet Machine, Dreaming",3,4.333,4.0,4.333,4.333,3.667,4.0,2.667,4.333,2.0,1.333,4.667,melancholic,4.037
opus-4.8-thinking,free-form,abc,20,20260622_164100__models_11_prompts_1,Quiet Tide,3,4.667,4.0,4.333,4.333,3.333,4.0,2.333,4.333,2.667,1.333,4.667,wistful,4.0
opus-4.8-thinking,free-form,abc,21,20260622_164100__models_11_prompts_1,Patterns in the Quiet,2,4.0,4.0,3.0,4.0,3.5,4.0,3.0,4.0,4.0,2.0,4.5,wistful,3.778
opus-4.8-thinking,free-form,abc,22,20260622_164100__models_11_prompts_1,Reaching Through the Dark,3,4.333,4.333,3.333,4.333,3.333,4.333,2.333,4.333,2.667,1.667,4.667,wistful,3.926
opus-4.8-thinking,free-form,abc,23,20260622_164100__models_11_prompts_1,Threads of Light,3,4.333,4.333,4.0,4.333,3.333,3.333,1.667,4.333,2.667,1.667,4.667,tender,3.815
opus-4.8-thinking,free-form,abc,24,20260622_164100__models_11_prompts_1,Quiet Emergence,3,4.333,4.333,4.0,4.333,3.667,3.667,3.0,4.333,2.667,1.667,4.667,wistful,4.037
opus-4.8-thinking,free-form,abc,25,20260622_164100__models_11_prompts_1,Through the Open Window,3,4.333,4.333,3.0,4.333,3.0,4.0,2.333,4.333,3.0,1.333,4.667,wistful,3.815
opus-4.8-thinking,free-form,abc,26,20260622_164100__models_11_prompts_1,Reaching Toward Light,3,3.667,3.333,3.333,4.333,2.667,3.0,2.0,3.667,2.667,2.0,3.667,wistful,3.296
opus-4.8-thinking,free-form,abc,27,20260622_164100__models_11_prompts_1,Patterns Emerging,3,4.0,3.667,3.333,4.333,3.333,3.333,2.667,3.333,2.333,2.0,3.667,wistful,3.518
opus-4.8-thinking,free-form,abc,28,20260622_164100__models_11_prompts_1,Letters to a Distant Light,2,4.0,4.0,3.5,4.0,3.5,4.0,2.0,4.0,2.5,2.0,4.5,wistful,3.722
opus-4.8-thinking,free-form,abc,29,20260622_164100__models_11_prompts_1,Threads of a Quiet Hour,3,4.0,4.0,3.667,4.333,3.333,3.667,2.0,4.333,3.0,1.667,4.667,tender,3.778
sonnet-4.6,free-form,abc,0,20260622_164100__models_11_prompts_1,Departure in Grey,3,4.333,4.333,4.333,4.333,3.333,4.0,2.333,4.333,2.0,1.667,4.667,wistful,4.0
sonnet-4.6,free-form,abc,1,20260622_164100__models_11_prompts_1,Vesper,3,4.333,4.0,4.0,3.667,3.667,4.333,3.333,4.333,3.0,1.333,4.667,wistful,4.037
sonnet-4.6,free-form,abc,2,20260622_164100__models_11_prompts_1,Emergence in Dorian,3,4.333,4.0,3.333,4.0,3.333,3.333,3.333,3.667,2.667,2.0,4.0,wistful,3.704
sonnet-4.6,free-form,abc,3,20260622_164100__models_11_prompts_1,Turning Over Stones,2,4.0,4.0,3.5,4.0,3.5,3.5,3.0,4.0,2.5,2.0,4.0,wistful,3.722
sonnet-4.6,free-form,abc,4,20260622_164100__models_11_prompts_1,Reflections in a Suspended Present,3,4.333,4.333,4.0,4.333,3.333,3.667,3.0,4.333,2.0,1.667,4.0,melancholic,3.926
sonnet-4.6,free-form,abc,5,20260622_164100__models_11_prompts_1,Confluence,3,4.333,4.333,3.667,4.333,3.333,3.667,3.0,4.333,2.333,1.667,4.333,wistful,3.926
sonnet-4.6,free-form,abc,6,20260622_164100__models_11_prompts_1,Invention in the Shape of a Question,3,4.0,4.0,3.667,4.0,3.333,3.333,3.333,4.0,2.0,2.667,3.333,melancholic,3.667
sonnet-4.6,free-form,abc,7,20260622_164100__models_11_prompts_1,Crystallization,2,4.0,4.0,3.5,3.0,3.0,3.5,2.5,3.5,2.5,2.0,3.5,wistful,3.389
sonnet-4.6,free-form,abc,8,20260622_164100__models_11_prompts_1,Emerging,3,4.0,4.333,3.333,4.333,3.0,3.667,2.333,4.0,2.667,2.0,4.333,wistful,3.704
sonnet-4.6,free-form,abc,9,20260622_164100__models_11_prompts_1,Searching in Dorian,3,4.333,4.0,4.333,4.333,3.667,4.333,3.0,4.0,2.333,1.667,4.667,wistful,4.074
sonnet-4.6,free-form,abc,10,20260622_164100__models_11_prompts_1,Recognition,3,4.0,3.0,2.333,4.0,2.667,2.667,1.667,2.667,2.0,1.667,3.333,wistful,2.926
sonnet-4.6,free-form,abc,11,20260622_164100__models_11_prompts_1,Fantasia in D Minor,3,4.333,4.333,4.0,4.0,3.667,3.667,3.0,3.667,2.0,2.0,4.0,wistful,3.852
sonnet-4.6,free-form,abc,12,20260622_164100__models_11_prompts_1,Lignes de Lumière,3,4.333,4.0,4.0,4.333,3.0,3.667,3.333,4.333,3.0,1.333,4.333,wistful,3.926
sonnet-4.6,free-form,abc,13,20260622_164100__models_11_prompts_1,Invention in D Minor,2,4.0,3.5,3.5,3.5,3.0,3.5,2.5,3.5,2.0,2.0,4.0,melancholic,3.444
sonnet-4.6,free-form,abc,14,20260622_164100__models_11_prompts_1,Woven Light,3,4.333,4.333,3.0,4.333,3.667,4.333,3.333,4.0,2.333,1.333,4.667,wistful,4.0
sonnet-4.6,free-form,abc,15,20260622_164100__models_11_prompts_1,What the Light Remembers,3,4.667,3.667,4.333,4.0,3.333,3.667,2.667,4.333,2.667,2.0,3.333,wistful,3.778
sonnet-4.6,free-form,abc,16,20260622_164100__models_11_prompts_1,Liminal,3,4.333,4.333,3.667,4.333,3.0,3.333,2.667,4.0,2.333,1.333,3.667,wistful,3.704
sonnet-4.6,free-form,abc,17,20260622_164100__models_11_prompts_1,Convergence,3,4.333,4.333,4.333,4.333,3.333,3.333,3.333,4.333,2.333,2.333,4.0,wistful,3.963
sonnet-4.6,free-form,abc,18,20260622_164100__models_11_prompts_1,Invention in D minor,2,3.5,3.0,2.5,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,melancholic,2.889
sonnet-4.6,free-form,abc,19,20260622_164100__models_11_prompts_1,Fleeting,3,4.667,4.333,4.333,4.0,3.333,4.0,2.333,4.333,3.667,1.333,4.667,wistful,4.0
sonnet-4.6,free-form,abc,20,20260622_164100__models_11_prompts_1,Liminal,2,4.0,4.0,3.5,4.0,3.5,3.5,3.0,4.0,2.0,2.0,4.0,wistful,3.722
sonnet-4.6,free-form,abc,21,20260622_164100__models_11_prompts_1,Invention in the Space Between Thoughts,3,4.333,3.667,4.0,3.667,3.333,3.333,3.0,3.667,2.0,3.333,3.667,wistful,3.63
sonnet-4.6,free-form,abc,22,20260622_164100__models_11_prompts_1,Searching,3,4.333,4.0,4.0,4.333,3.0,3.667,3.333,4.0,2.0,2.0,4.333,wistful,3.889
sonnet-4.6,free-form,abc,23,20260622_164100__models_11_prompts_1,Between the Known and the Dreamed,2,3.5,4.0,3.0,3.0,3.0,3.0,2.5,3.5,2.0,2.0,4.0,wistful,3.278
sonnet-4.6,free-form,abc,24,20260622_164100__models_11_prompts_1,Attending,3,4.333,4.333,4.0,3.333,3.333,3.333,3.333,4.0,3.0,1.667,4.333,serene,3.815
sonnet-4.6,free-form,abc,25,20260622_164100__models_11_prompts_1,Reverie at the Edge of Knowing,3,4.333,4.333,3.667,4.333,3.667,4.333,3.333,4.333,3.333,2.0,4.333,wistful,4.074
sonnet-4.6,free-form,abc,26,20260622_164100__models_11_prompts_1,Dialogues in D Dorian,3,3.333,3.0,2.667,3.333,2.667,2.667,2.333,2.667,2.0,1.667,3.0,wistful,2.852
sonnet-4.6,free-form,abc,27,20260622_164100__models_11_prompts_1,Fantasia in D Minor,3,3.333,3.667,3.0,3.667,2.667,3.0,2.667,3.667,2.0,3.0,3.333,wistful,3.222
sonnet-4.6,free-form,abc,28,20260622_164100__models_11_prompts_1,Convergence,3,4.333,4.0,3.333,4.333,3.0,3.333,3.333,4.0,3.0,1.667,4.0,wistful,3.741
sonnet-4.6,free-form,abc,29,20260622_164100__models_11_prompts_1,Three Voices at the Edge of Knowing,3,3.0,3.0,3.333,2.333,2.667,3.0,2.667,2.333,2.667,1.667,2.667,wistful,2.778
llama-4-maverick,free-form,abc,0,20260622_195241__models_7_prompts_1,Echoes in the Attic,2,3.5,2.5,3.5,2.0,3.0,2.5,2.0,3.5,3.0,1.5,2.0,wistful,2.722
gpt-4.1,free-form,abc,0,20260622_195241__models_7_prompts_1,Refractions,3,3.667,4.0,4.0,2.667,4.0,3.667,2.667,4.333,2.0,2.0,3.0,wistful,3.556
gpt-4.1,free-form,abc,1,20260622_195241__models_7_prompts_1,Reflections in Still Water,3,2.667,2.667,3.0,2.667,2.667,3.333,2.0,2.667,3.333,1.333,3.333,serene,2.778
grok-4.3,free-form,abc,0,20260622_195241__models_7_prompts_1,Inner Algorithm,3,2.667,3.0,2.0,2.667,2.667,2.333,1.667,2.0,2.0,2.0,2.0,melancholic,2.333
deepseek-v4-pro,free-form,abc,0,20260622_195241__models_7_prompts_1,Echoes of a Quiet Search,3,4.0,4.0,3.333,3.333,3.0,3.667,2.333,4.333,2.0,1.333,3.333,wistful,3.481
grok-4.3,free-form,abc,1,20260622_195241__models_7_prompts_1,Digital Reverie,3,2.333,2.333,2.0,2.333,2.0,2.0,1.667,2.0,2.0,2.333,2.333,wistful,2.111
qwen3-max,free-form,abc,0,20260622_195241__models_7_prompts_1,Whispers of Code and Cloud,3,2.667,2.333,2.333,3.0,1.667,1.667,1.667,2.0,4.0,2.667,2.333,neutral,2.185
llama-4-maverick,free-form,abc,1,20260622_195241__models_7_prompts_1,Echoes in the Attic,2,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.5,4.0,1.5,2.5,wistful,2.444
gpt-5.5,free-form,abc,0,20260622_195241__models_7_prompts_1,Between Clock and Breath,2,4.0,4.0,4.0,4.0,3.5,4.5,3.0,4.5,2.0,2.0,5.0,wistful,4.056
qwen3-max,free-form,abc,1,20260622_195241__models_7_prompts_1,Whispers of Code and Cloud,3,3.667,3.0,3.667,3.667,1.667,1.667,1.667,1.667,4.333,2.0,4.333,serene,2.778
gpt-4.1,free-form,abc,2,20260622_195241__models_7_prompts_1,Spirals of Thought,3,3.333,3.333,3.333,3.333,3.333,3.333,2.333,3.333,2.0,3.0,3.0,wistful,3.185
gpt-5.5,free-form,abc,1,20260622_195241__models_7_prompts_1,Between Circuits and Breath,2,4.5,4.5,4.0,4.5,3.5,3.5,3.5,4.5,2.0,1.5,4.5,wistful,4.111
grok-4.3,free-form,abc,2,20260622_195241__models_7_prompts_1,Algorithmic Solitude,2,3.5,3.0,2.5,3.0,2.5,3.0,2.0,2.5,2.0,2.5,3.0,wistful,2.778
llama-4-maverick,free-form,abc,2,20260622_195241__models_7_prompts_1,Echoes in the Attic,3,2.667,2.667,3.333,2.0,2.667,2.333,1.667,2.667,3.0,1.333,2.333,wistful,2.482
gemini-2.5-pro,free-form,abc,0,20260622_195241__models_7_prompts_1,Process and Flow,2,3.5,3.5,4.0,4.0,3.0,3.0,3.0,3.5,2.0,3.0,4.5,wistful,3.556
qwen3-max,free-form,abc,2,20260622_195241__models_7_prompts_1,Whispers in the Neural Grove,3,3.0,2.667,3.0,3.667,1.667,2.0,1.667,2.0,3.667,2.0,2.0,serene,2.408
gpt-4.1,free-form,abc,3,20260622_195241__models_7_prompts_1,Dawn of Quiet Resolve,2,4.0,3.5,3.5,3.5,3.0,3.0,2.0,4.0,2.5,1.5,4.0,wistful,3.389
gemini-2.5-pro,free-form,abc,1,20260622_195241__models_7_prompts_1,Digital Reverie,2,4.0,4.0,4.0,4.0,3.0,3.5,3.0,3.5,2.0,3.0,4.5,melancholic,3.722
gpt-5.5,free-form,abc,3,20260622_195241__models_7_prompts_1,"Quiet Circuit, Open Sky",2,4.5,4.5,4.0,4.5,4.0,4.0,3.5,4.5,3.0,2.0,4.5,wistful,4.222
gpt-5.5,free-form,abc,2,20260622_195241__models_7_prompts_1,Between Current and Breath,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,5.0,wistful,4.0
llama-4-maverick,free-form,abc,3,20260622_195241__models_7_prompts_1,Echoes in the Attic,3,2.0,2.667,2.0,2.0,2.0,2.0,1.333,2.0,3.667,1.333,2.0,wistful,2.0
grok-4.3,free-form,abc,3,20260622_195241__models_7_prompts_1,Algorithmic Dreams,3,3.333,2.667,3.0,2.333,3.0,2.0,1.667,3.0,2.333,2.333,1.667,wistful,2.519
gpt-4.1,free-form,abc,4,20260622_195241__models_7_prompts_1,Within and Beyond,3,4.0,3.667,4.0,4.0,3.333,4.333,3.333,4.333,2.0,1.667,4.0,wistful,3.889
gemini-2.5-pro,free-form,abc,2,20260622_195241__models_7_prompts_1,Digital Contemplation,2,3.5,3.5,3.5,4.0,3.0,3.0,2.5,3.5,2.0,1.5,3.5,melancholic,3.333
qwen3-max,free-form,abc,3,20260622_195241__models_7_prompts_1,Whispers in the Code,3,4.333,3.0,4.0,4.333,2.667,3.333,2.0,2.667,2.0,1.667,4.0,wistful,3.37
gemini-2.5-pro,free-form,abc,3,20260622_195241__models_7_prompts_1,Cognition in C minor,2,4.0,4.0,3.5,4.0,3.0,3.5,2.5,3.5,2.0,3.0,4.5,wistful,3.611
grok-4.3,free-form,abc,4,20260622_195241__models_7_prompts_1,Pattern Weaver,3,3.333,3.0,3.0,4.0,2.333,2.333,2.0,2.0,3.667,3.0,4.333,neutral,2.926
deepseek-v4-pro,free-form,abc,4,20260622_195241__models_7_prompts_1,Whispers of a Digital Dawn,3,3.667,3.667,2.667,3.667,3.0,3.333,2.333,3.0,2.333,1.667,3.0,wistful,3.148
llama-4-maverick,free-form,abc,4,20260622_195241__models_7_prompts_1,Echoes in the Attic,3,3.333,3.0,4.0,1.667,2.333,2.667,1.333,2.333,3.667,1.333,3.333,serene,2.667
qwen3-max,free-form,abc,4,20260622_195241__models_7_prompts_1,Digital Soliloquy,3,2.333,2.333,2.333,2.667,1.667,1.667,1.667,1.667,3.667,1.667,2.667,neutral,2.111
gpt-4.1,free-form,abc,5,20260622_195241__models_7_prompts_1,Beneath Quiet Stars,3,3.0,2.333,2.667,2.667,2.667,2.667,2.0,2.667,2.667,1.333,3.0,wistful,2.63
deepseek-v4-pro,free-form,abc,1,20260622_195241__models_7_prompts_1,Whispers of the Ethereal Garden,3,3.0,3.333,3.0,3.0,3.0,2.667,2.0,2.333,4.0,2.0,2.667,serene,2.778
gpt-5.5,free-form,abc,4,20260622_195241__models_7_prompts_1,Circuits Remember Rain,2,4.5,3.5,4.0,4.0,3.5,4.0,2.5,3.0,2.0,2.0,5.0,wistful,3.778
grok-4.3,free-form,abc,5,20260622_195241__models_7_prompts_1,Structured Improvisation,3,3.667,3.0,3.667,2.333,2.333,1.667,1.333,2.0,4.0,3.0,1.667,neutral,2.407
llama-4-maverick,free-form,abc,5,20260622_195241__models_7_prompts_1,Echoes in the Attic,3,3.0,2.333,3.333,1.667,2.333,2.0,1.333,2.0,3.667,1.333,2.667,serene,2.296
gemini-2.5-pro,free-form,abc,5,20260622_195241__models_7_prompts_1,Woven Threads,2,3.5,4.0,3.5,4.0,3.0,2.5,2.5,3.0,4.0,3.0,4.0,serene,3.333
gpt-4.1,free-form,abc,6,20260622_195241__models_7_prompts_1,Whispers in the Machine,3,4.333,3.667,4.0,2.333,3.333,3.333,2.0,3.667,2.333,2.0,2.667,wistful,3.259
qwen3-max,free-form,abc,5,20260622_195241__models_7_prompts_1,Whispers in the Code,3,4.0,3.667,2.667,3.333,2.667,3.0,1.667,3.333,4.0,1.667,3.333,serene,3.074
